150.707 156.364 84
151.742 160.228 84
151.742 160.228 86
150.707 156.364 86

150.707 156.364 84
147.879 159.192 84
147.879 159.192 86
150.707 156.364 86

150.707 156.364 84
146.844 155.329 84
146.844 155.329 86
150.707 156.364 86

150.707 156.364 84
149.672 152.5 84
149.672 152.5 86
150.707 156.364 86

150.707 156.364 84
153.535 153.536 84
153.535 153.536 86
150.707 156.364 86

150.707 156.364 84
154.571 157.399 84
154.571 157.399 86
150.707 156.364 86

150.707 156.364 84
151.742 160.228 84
151.742 160.228 86
150.707 156.364 86

