156.364 150.707 84
160.228 151.742 84
160.228 151.742 86
156.364 150.707 86

156.364 150.707 84
157.399 154.571 84
157.399 154.571 86
156.364 150.707 86

156.364 150.707 84
153.536 153.535 84
153.536 153.535 86
156.364 150.707 86

156.364 150.707 84
152.5 149.672 84
152.5 149.672 86
156.364 150.707 86

156.364 150.707 84
155.329 146.844 84
155.329 146.844 86
156.364 150.707 86

156.364 150.707 84
159.192 147.879 84
159.192 147.879 86
156.364 150.707 86

156.364 150.707 84
160.228 151.742 84
160.228 151.742 86
156.364 150.707 86

